item_id,subject,profile
T1-c0-Fe-Je-Se,Algorithms > Sorting & Searching,Fe-Je-Se
T1-c0-Fe-Je-Sn,Algorithms > Sorting & Searching,Fe-Je-Sn
T1-c0-Fe-Jn-Se,Algorithms > Sorting & Searching,Fe-Jn-Se
T1-c0-Fe-Jn-Sn,Algorithms > Sorting & Searching,Fe-Jn-Sn
T1-c0-Fn-Je-Se,Algorithms > Sorting & Searching,Fn-Je-Se
T1-c0-Fn-Je-Sn,Algorithms > Sorting & Searching,Fn-Je-Sn
T1-c0-Fn-Jn-Se,Algorithms > Sorting & Searching,Fn-Jn-Se
T1-c0-Fn-Jn-Sn,Algorithms > Sorting & Searching,Fn-Jn-Sn
T1-c1-Fe-Je-Se,Microeconomics > Supply & Demand,Fe-Je-Se
T1-c1-Fe-Je-Sn,Microeconomics > Supply & Demand,Fe-Je-Sn
T1-c1-Fe-Jn-Se,Microeconomics > Supply & Demand,Fe-Jn-Se
T1-c1-Fe-Jn-Sn,Microeconomics > Supply & Demand,Fe-Jn-Sn
T1-c1-Fn-Je-Se,Microeconomics > Supply & Demand,Fn-Je-Se
T1-c1-Fn-Je-Sn,Microeconomics > Supply & Demand,Fn-Je-Sn
T1-c1-Fn-Jn-Se,Microeconomics > Supply & Demand,Fn-Jn-Se
T1-c1-Fn-Jn-Sn,Microeconomics > Supply & Demand,Fn-Jn-Sn
T1-c2-Fe-Je-Se,ML > Model Evaluation & Overfitting,Fe-Je-Se
T1-c2-Fe-Je-Sn,ML > Model Evaluation & Overfitting,Fe-Je-Sn
T1-c2-Fe-Jn-Se,ML > Model Evaluation & Overfitting,Fe-Jn-Se
T1-c2-Fe-Jn-Sn,ML > Model Evaluation & Overfitting,Fe-Jn-Sn
T1-c2-Fn-Je-Se,ML > Model Evaluation & Overfitting,Fn-Je-Se
T1-c2-Fn-Je-Sn,ML > Model Evaluation & Overfitting,Fn-Je-Sn
T1-c2-Fn-Jn-Se,ML > Model Evaluation & Overfitting,Fn-Jn-Se
T1-c2-Fn-Jn-Sn,ML > Model Evaluation & Overfitting,Fn-Jn-Sn
T1-c3-Fe-Je-Se,Databases > Indexing & Query Optimization,Fe-Je-Se
T1-c3-Fe-Je-Sn,Databases > Indexing & Query Optimization,Fe-Je-Sn
T1-c3-Fe-Jn-Se,Databases > Indexing & Query Optimization,Fe-Jn-Se
T1-c3-Fe-Jn-Sn,Databases > Indexing & Query Optimization,Fe-Jn-Sn
T1-c3-Fn-Je-Se,Databases > Indexing & Query Optimization,Fn-Je-Se
T1-c3-Fn-Je-Sn,Databases > Indexing & Query Optimization,Fn-Je-Sn
T1-c3-Fn-Jn-Se,Databases > Indexing & Query Optimization,Fn-Jn-Se
T1-c3-Fn-Jn-Sn,Databases > Indexing & Query Optimization,Fn-Jn-Sn
T1-c4-Fe-Je-Se,Statistics > Hypothesis Testing,Fe-Je-Se
T1-c4-Fe-Je-Sn,Statistics > Hypothesis Testing,Fe-Je-Sn
T1-c4-Fe-Jn-Se,Statistics > Hypothesis Testing,Fe-Jn-Se
T1-c4-Fe-Jn-Sn,Statistics > Hypothesis Testing,Fe-Jn-Sn
T1-c4-Fn-Je-Se,Statistics > Hypothesis Testing,Fn-Je-Se
T1-c4-Fn-Je-Sn,Statistics > Hypothesis Testing,Fn-Je-Sn
T1-c4-Fn-Jn-Se,Statistics > Hypothesis Testing,Fn-Jn-Se
T1-c4-Fn-Jn-Sn,Statistics > Hypothesis Testing,Fn-Jn-Sn
