run_id,challenge_id,user_id,status,framing_text_len,response_type,F,J,S,n_cycles
ae951162-55bc-4d1a-8d76-e3de56cf9ee5,2a9c3150-16fe-4fbd-8b4c-83188fee98e8,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,0,?,2,2.000,2.000,1
9d9fa44b-b105-44a9-a244-cbb122b65029,226895c9-0804-41d5-a3f5-d3fa204be21d,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,0,?,2,2.000,2.000,1
57e5c3e8-5b4e-4cfa-a5cf-7e6098c4d688,dfacf4d9-0368-44a4-b96b-269130741636,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,0,?,2,2.000,2.000,1
8d8e5760-d521-4555-8b4d-2535f10fbe21,a06b7c6a-5ae4-4f87-9d75-5332346187fe,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,0,?,2,2.000,2.000,1
db5a372d-1bc5-4708-8427-df22abce88d8,8bdba25d-2627-4b38-971d-dec0cc708a73,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,0,?,2,2.000,2.000,1
fe372197-6794-4aa7-b8c7-8925a47c62ee,20ccce77-4380-4801-85c9-150d0b13b6e4,d7ecd9a2-d75a-4dce-8b5c-415ff29a15e5,completed,0,?,2,2.000,2.000,1
c0d874fa-05a9-4d7e-af9c-3acb183bd8fe,4aad48be-ffc2-499e-b1b7-ea705b7f6340,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,3,2.500,2.000,2
a60e2a99-57fd-4e4c-96a3-d3ae11597940,f73182ab-a5b8-4712-8156-81ced822f4b9,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,2,2.000,1.333,3
18164a3b-a5b5-487a-8a87-d1903ed53499,dfacf4d9-0368-44a4-b96b-269130741636,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,1,2.333,2.000,3
93bbdb36-89a7-4897-b5ac-6d7cdf1df3c8,dcb43294-b111-40a8-8533-200dc661a1be,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,2,3.000,3.000,1
691f3c14-3701-4f29-9053-a0e5e475b053,20ccce77-4380-4801-85c9-150d0b13b6e4,48a92374-5597-4bb2-af34-2e1da451ce22,completed,14,submitted,2,1.000,2.000,1
5b594a92-32e6-40b0-b80e-4ed204116afb,3b7d6eeb-706b-455d-a016-2a3d6ee21262,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,1,2.500,1.500,2
52a77d8e-310b-4bd1-8570-5f8892336134,daa0aeb8-def0-4220-80b8-fee540ba1c0b,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,2,1.500,2.500,2
9bd44f6e-ae43-4330-a493-84dc655b7ca6,f068a927-e895-4ba7-b04d-6f7b743b98b3,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,1,3.000,2.000,1
5bec0313-fbcb-4a1e-ba2b-acce308b6220,047bd241-4e93-461b-85d5-c09281a38d15,d08cacca-653b-4f42-9507-2b54e35497ea,completed,14,submitted,1,2.000,1.000,1
