challenge,subject,framing_level,judging_level,steering_level,framing_grade,judging_grade,steering_grade
100,Operating Systems > CPU Scheduling,expert,expert,expert,B,A,A
100,Operating Systems > CPU Scheduling,expert,expert,novice,B,A,B
100,Operating Systems > CPU Scheduling,expert,novice,expert,B,C,B
100,Operating Systems > CPU Scheduling,expert,novice,novice,B,C,C
100,Operating Systems > CPU Scheduling,novice,expert,expert,C,A,B
100,Operating Systems > CPU Scheduling,novice,expert,novice,C,A,B
100,Operating Systems > CPU Scheduling,novice,novice,expert,C,C,C
100,Operating Systems > CPU Scheduling,novice,novice,novice,B,C,C
101,Calculus > Constrained Optimization,expert,expert,expert,B,A,B
101,Calculus > Constrained Optimization,expert,expert,novice,B,A,B
101,Calculus > Constrained Optimization,expert,novice,expert,B,C,B
101,Calculus > Constrained Optimization,expert,novice,novice,B,C,C
101,Calculus > Constrained Optimization,novice,expert,expert,C,A,B
101,Calculus > Constrained Optimization,novice,expert,novice,C,A,A
101,Calculus > Constrained Optimization,novice,novice,expert,C,C,A
101,Calculus > Constrained Optimization,novice,novice,novice,C,C,B
102,Organic Chemistry > Reaction Mechanisms,expert,expert,expert,C,A,B
102,Organic Chemistry > Reaction Mechanisms,expert,expert,novice,C,A,B
102,Organic Chemistry > Reaction Mechanisms,expert,novice,expert,B,C,B
102,Organic Chemistry > Reaction Mechanisms,expert,novice,novice,C,C,C
102,Organic Chemistry > Reaction Mechanisms,novice,expert,expert,C,A,B
102,Organic Chemistry > Reaction Mechanisms,novice,expert,novice,C,A,B
102,Organic Chemistry > Reaction Mechanisms,novice,novice,expert,C,C,B
102,Organic Chemistry > Reaction Mechanisms,novice,novice,novice,C,C,C
103,Linguistics > Syntactic Parsing,expert,expert,expert,C,A,B
103,Linguistics > Syntactic Parsing,expert,expert,novice,B,A,B
103,Linguistics > Syntactic Parsing,expert,novice,expert,C,C,A
103,Linguistics > Syntactic Parsing,expert,novice,novice,B,C,B
103,Linguistics > Syntactic Parsing,novice,expert,expert,C,A,B
103,Linguistics > Syntactic Parsing,novice,expert,novice,C,A,B
103,Linguistics > Syntactic Parsing,novice,novice,expert,C,C,B
103,Linguistics > Syntactic Parsing,novice,novice,novice,C,C,B
104,Corporate Finance > Capital Budgeting,expert,expert,expert,B,A,B
104,Corporate Finance > Capital Budgeting,expert,expert,novice,B,A,B
104,Corporate Finance > Capital Budgeting,expert,novice,expert,B,C,B
104,Corporate Finance > Capital Budgeting,expert,novice,novice,B,C,B
104,Corporate Finance > Capital Budgeting,novice,expert,expert,B,A,A
104,Corporate Finance > Capital Budgeting,novice,expert,novice,C,A,B
104,Corporate Finance > Capital Budgeting,novice,novice,expert,C,C,B
104,Corporate Finance > Capital Budgeting,novice,novice,novice,C,C,B
